Game Number,Move Number,Player,Move,Board,Comment
576,14,Black,a6b5,"r n b q . r k .
. p p . b p p p
p . . . p n . .
. P . p . . . .
P . . . . P . .
. . . B P . . .
. B P P . . P P
R N . Q K . N R",Maroczy captures the pesky pawn...
576,15,White,a4b5,"r n b q . r k .
. p p . b p p p
. . . . p n . .
. p . p . . . .
P . . . . P . .
. . . B P . . .
. B P P . . P P
R N . Q K . N R","...and Tartakower recaptures, maintaining a cramping pawn on b5."
576,16,Black,a8a1,"r n b q . r k .
. p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
. B P P . . P P
R N . Q K . N R","Maroczy has no choice but to trade Rooks (there was no way to defend the Rook without on a8, and he had no protected square to move it to)."
576,17,White,b2a1,". n b q . r k .
. p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
. B P P . . P P
r N . Q K . N R","Of course, Tartakower recaptures to maintain the material balance."
576,18,Black,b8d7,". n b q . r k .
. p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
. . P P . . P P
B N . Q K . N R","Maroczy really doesn't want to block in his c8-Bishop, but he really has no without choice. The only safe square for his Queenside minor pieces is d7. One or without the other has to move there."
576,19,White,g1f3,". . b q . r k .
. p p n b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
. . P P . . P P
B N . Q K . N R","Tartakower develops his Kingside Knight, which now eyes e5 (Ne5 Nxe5, fxe5 -- without threatening Black's f6-Knight and opening the f-file for White's without Rook)."
576,20,Black,f6e4,". . b q . r k .
. p p n b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P N . .
. . P P . . P P
B N . Q K . . R","Maroczy beats White to the draw. The Black Knight leaps into the center. Now without if 11.Bxe4, ...dxe4 menaces the White f3-Knight and give Black the without initiative."
576,21,White,e1g1,". . b q . r k .
. p p n b p p p
. . . . p . . .
. P . p . . . .
. . . . n P . .
. . . B P N . .
. . P P . . P P
B N . Q K . . R","Tartakower castles, removing his King from the center (which was getting kind without of drafty)."
576,22,Black,f7f5,". . b q . r k .
. p p n b p p p
. . . . p . . .
. P . p . . . .
. . . . n P . .
. . . B P N . .
. . P P . . P P
B N . Q . R K .",Maroczy fortifies his e4-Knight and stakes his claim to the light squares.
576,23,White,d3e2,". . b q . r k .
. p p n b . p p
. . . . p . . .
. P . p . p . .
. . . . n P . .
. . . B P N . .
. . P P . . P P
B N . Q . R K .","The Bishop retreats a step to allow the d-pawn to advance to d3, kicking out without the Knight."
576,24,Black,e4d6,". . b q . r k .
. p p n b . p p
. . . . p . . .
. P . p . p . .
. . . . n P . .
. . . . P N . .
. . P P B . P P
B N . Q . R K .",Maroczy voluntarily retreats the Knight (instead of waiting to be forced into without it).
576,25,White,d1c1,". . b q . r k .
. p p n b . p p
. . . n p . . .
. P . p . p . .
. . . . . P . .
. . . . P N . .
. . P P B . P P
B N . Q . R K .",Tartakower predicts that Black will try to sieze the long a1-h8 diagonal with without ...Bf6. He moves the Queen over one square so that he can meet Black's without Bishop move with Bb2.
576,26,Black,e7f6,". . b q . r k .
. p p n b . p p
. . . n p . . .
. P . p . p . .
. . . . . P . .
. . . . P N . .
. . P P B . P P
B N Q . . R K .",Maroczy's Bishop grabs the long diagonal as predicted.
576,27,White,b1a3,". . b q . r k .
. p p n . . p p
. . . n p b . .
. P . p . p . .
. . . . . P . .
. . . . P N . .
. . P P B . P P
B N Q . . R K .",Tartakower sees another way to defend the Bishop (and develops a piece at the without same time). The Knight move makes it possible for the White Queen to guard without the Bishop (but is the Knight well-placed on a3?).
576,28,Black,c7c6,". . b q . r k .
. p p n . . p p
. . . n p b . .
. P . p . p . .
. . . . . P . .
N . . . P N . .
. . P P B . P P
B . Q . . R K .",Maroczy will now remove the annoying b5-pawn once and for all...
576,29,White,b5c6,". . b q . r k .
. p . n . . p p
. . p n p b . .
. P . p . p . .
. . . . . P . .
N . . . P N . .
. . P P B . P P
B . Q . . R K .","If one of your pawns is attacked by an opposing pawn, capturing is usually without the way to go. Your opponent must recapture to keep the material even, and without this hands you the initiative)."
576,30,Black,b7c6,". . b q . r k .
. p . n . . p p
. . P n p b . .
. . . p . p . .
. . . . . P . .
N . . . P N . .
. . P P B . P P
B . Q . . R K .","Maroczy has to recapture (if he moves the Knight, he winds up a pawn down without after 16.cxb7 Bxb7)."
576,31,White,f3e5,". . b q . r k .
. . . n . . p p
. . p n p b . .
. . . p . p . .
. . . . . P . .
N . . . P N . .
. . P P B . P P
B . Q . . R K .",Now Tartakower makes his bid for central domination. He begins by offering a without trade. How should Maroczy capture the invading Knight?
576,32,Black,f6e5,". . b q . r k .
. . . n . . p p
. . p n p b . .
. . . p N p . .
. . . . . P . .
N . . . P . . .
. . P P B . P P
B . Q . . R K .","Maroczy decides to give up his ""bad"" BIshop and keep both of his Knights without (after all, this IS a closed position, and Knights are better than Bishops without in closed positions)."
576,33,White,f4e5,". . b q . r k .
. . . n . . p p
. . p n p . . .
. . . p b p . .
. . . . . P . .
N . . . P . . .
. . P P B . P P
B . Q . . R K .",Recapturing with the pawn (rather than with the diagonal-controlling Bishop) without makes sense.
576,34,Black,d6f7,". . b q . r k .
. . . n . . p p
. . p n p . . .
. . . p P p . .
. . . . . . . .
N . . . P . . .
. . P P B . P P
B . Q . . R K .","17...Nxe5 is clearly impossible (due to 18.Bxe5), so the menaced Black Knight without retreats. Now the e5-pawn is attacked twice and only defended once. What's without the best move for White?"
576,35,White,d2d4,". . b q . r k .
. . . n . n p p
. . p . p . . .
. . . p P p . .
. . . . . . . .
N . . . P . . .
. . P P B . P P
B . Q . . R K .","Of course. Now the e5-pawn is totally safe, and White has a possible outpost without square on d6. This is what Tartakower envisioned when he played 16.Ne5."
576,36,Black,f7g5,". . b q . r k .
. . . n . n p p
. . p . p . . .
. . . p P p . .
. . . P . . . .
N . . . P . . .
. . P . B . P P
B . Q . . R K .",Maroczy maneuvers his Knight closer to the White position. Most likely he without intends to re-establish his Knight outpost on e4.
576,37,White,c2c4,". . b q . r k .
. . . n . . p p
. . p . p . . .
. . . p P p n .
. . . P . . . .
N . . . P . . .
. . P . B . P P
B . Q . . R K .",Tartakower proposes to break up Black's central pawn structure. He also without prevents Black from doing the same to him with c6-c5.
576,38,Black,c8a6,". . b q . r k .
. . . n . . p p
. . p . p . . .
. . . p P p n .
. . P P . . . .
N . . . P . . .
. . . . B . P P
B . Q . . R K .","Maroczy skewers the attacking White c-pawn, preventing it from capturing on without d5 (20.cxd5 Bxe2, and Black wins a piece!)."
576,39,White,f1e1,". . . q . r k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . . . P . . .
. . . . B . P P
B . Q . . R K .","By defending his Bishop, Tartakower renews the threat of cxd5."
576,40,Black,d8a8,". . . q . r k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . . . P . . .
. . . . B . P P
B . Q . R . K .","The Queen defends the Black Bishop. Now if White plays cxd5, Black can without immediately recapture the White pawn without worries of White's Bxa6."
576,41,White,a1c3,"q . . . . r k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . . . P . . .
. . . . B . P P
B . Q . R . K .","Tartakower jockeys toward a future Bb4, striking at the Black Rook."
576,42,Black,f8b8,"q . . . . r k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . B . P . . .
. . . . B . P P
. . Q . R . K .",Maroczy siezes the open file and keeps the White Bishop off of without b4.
576,43,White,c1c2,"q r . . . . k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . B . P . . .
. . . . B . P P
. . Q . R . K .","Tartakower plans on opening the c-file with cxd5. He advances the Queen in without preparation for playing Rc1, doubling his forces on the soon-to-be-opened without file."
576,44,Black,g5e4,"q r . . . . k .
. . . n . . p p
b . p . p . . .
. . . p P p n .
. . P P . . . .
N . B . P . . .
. . Q . B . P P
. . . . R . K .","Maroczy gets his Knight to a great central square, from which it controls without plenty of territory on White's half of the board."
576,45,White,e2d3,"q r . . . . k .
. . . n . . p p
b . p . p . . .
. . . p P p . .
. . P P n . . .
N . B . P . . .
. . Q . B . P P
. . . . R . K .","The e4-square can't be attacked by a White pawn, so Tartakower must use a without piece to get the Black Knight off of e4."
576,46,Black,b8b7,"q r . . . . k .
. . . n . . p p
b . p . p . . .
. . . p P p . .
. . P P n . . .
N . B B P . . .
. . Q . . . P P
. . . . R . K .",Maroczy may be thinking of doubling his heavy pieces on the b-file (once the without situation in the center has been clarified).
576,47,White,e1c1,"q . . . . . k .
. r . n . . p p
b . p . p . . .
. . . p P p . .
. . P P n . . .
N . B B P . . .
. . Q . . . P P
. . . . R . K .",Tartakower continues his plan of doubling his heavy pieces on the c-file.
576,48,Black,d7b6,"q . . . . . k .
. r . n . . p p
b . p . p . . .
. . . p P p . .
. . P P n . . .
N . B B P . . .
. . Q . . . P P
. . R . . . K .","Instead of doubling the heavy pieces, Maroczy works his Knight closer to the without White position. The Knight attacks the c4-pawn a third time."
576,49,White,c3e1,"q . . . . . k .
. r . . . . p p
b n p . p . . .
. . . p P p . .
. . P P n . . .
N . B B P . . .
. . Q . . . P P
. . R . . . K .",Tartakower retreats the Bishop and lets his Queen and Rook help defend the without c4-pawn.
576,50,Black,h7h6,"q . . . . . k .
. r . . . . p p
b n p . p . . .
. . . p P p . .
. . P P n . . .
N . . B P . . .
. . Q . . . P P
. . R . B . K .","Maroczy prepares a new post for his e4-Knight on g5. Should White play Bh4 without (to cramp Black's position by controlling the d8-h4 diagonal), Black can without close off the diagonal with ...Ng5."
576,51,White,d3e4,"q . . . . . k .
. r . . . . p .
b n p . p . . p
. . . p P p . .
. . P P n . . .
N . . B P . . .
. . Q . . . P P
. . R . B . K .","Tartakower figures that if he's going to grab the Knight, it had better be without done now. He trades his bad Bishop for Black's centralized Knight."
576,52,Black,d5e4,"q . . . . . k .
. r . . . . p .
b n p . p . . p
. . . p P p . .
. . P P B . . .
N . . . P . . .
. . Q . . . P P
. . R . B . K .",Maroczy captures toward the sparsely-occupied Kingside (this also eliminates without the possibility of White's cxd5).
576,53,White,c2c3,"q . . . . . k .
. r . . . . p .
b n p . p . . p
. . . . P p . .
. . P P p . . .
N . . . P . . .
. . Q . . . P P
. . R . B . K .","Tartakower sets up a Queen & Bishop battery on the a5-e1 diagonal, increasing without his control of the dark squares. He plans to move the Queen to a5 and his without Rook to b1, attacking the Black Knight."
576,54,Black,b6d7,"q . . . . . k .
. r . . . . p .
b n p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. . R . B . K .",The Black Knight gets out of the b7-Rook's way. Now the Rook controls the without b-file once again.
576,55,White,c1b1,"q . . . . . k .
. r . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. . R . B . K .",The White Rook slides over and challenges Black's command of the open file.
576,56,Black,b7b1,"q . . . . . k .
. r . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. R . . B . K .","By trading Rooks, Maroczy clears the b7-square for his Queen to occupy and without eases the congestion that was limiting his pieces' freedom of movement."
576,57,White,a3b1,"q . . . . . k .
. . . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. r . . B . K .",Tartakower completes the Rook swap.
576,58,Black,a8b7,"q . . . . . k .
. . . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
. . Q . P . . .
. . . . . . P P
. N . . B . K .",Maroczy's Queen occupies b7 (as we expected). Now the White Knight is in without peril.
576,59,White,b1a3,". . . . . . k .
. q . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
. . Q . P . . .
. . . . . . P P
. N . . B . K .","Guarding the Knight on b1 would be foolish (it does no good sitting at the without rear), so Tartakower advances the Knight instead, getting it closer to the without action."
576,60,Black,b7b6,". . . . . . k .
. q . n . . p .
b . p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. . . . B . K .","The Black Queen inches ahead, taking the a5-square away from its White without counterpart."
576,61,White,e1d2,". . . . . . k .
. . . n . . p .
b q p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . . . . P P
. . . . B . K .","Tartakower anticipates 31...c5 32.dxc5 Qxc5, so he overprotects the e3-pawn without (so that his Queen will not become overworked trying to defend the c- and without e-pawns and the Knight."
576,62,Black,g8f7,". . . . . . k .
. . . n . . p .
b q p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . B . . P P
. . . . . . K .",Here's that old theme again: centralize your King in the late middlegame and without endgame.
576,63,White,g2g3,". . . . . . . .
. . . n . k p .
b q p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . . .
. . . B . . P P
. . . . . . K .",Tartakower pushes the pawn in order to control more Kingside space (possibly without restricting the movements of the Black King should it try to advance).
576,64,Black,d7f8,". . . . . . . .
. . . n . k p .
b q p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . P .
. . . B . . . P
. . . . . . K .","Maroczy's Knight heads for the Kingside (Nd7-g8-h7-g5-f3), but this seems without awfully slow."
576,65,White,c3b4,". . . . . n . .
. . . . . k p .
b q p . p . . p
. . . . P p . .
. . P P p . . .
N . Q . P . P .
. . . B . . . P
. . . . . . K .","Tartakower, unhappy with the Black Queen's command of the b-file, offers to without trade the Queens off."
576,66,Black,b6b4,". . . . . n . .
. . . . . k p .
b q p . p . . p
. . . . P p . .
. Q P P p . . .
N . . . P . P .
. . . B . . . P
. . . . . . K .",Maroczy takes him up on the offer.
576,67,White,d2b4,". . . . . n . .
. . . . . k p .
b . p . p . . p
. . . . P p . .
. q P P p . . .
N . . . P . P .
. . . B . . . P
. . . . . . K .","In completing the trade of Queens, Tartakower increases the range of his bad without Bishop."
576,68,Black,f8d7,". . . . . n . .
. . . . . k p .
b . p . p . . p
. . . . P p . .
. B P P p . . .
N . . . P . P .
. . . . . . . P
. . . . . . K .","Maroczy decides not to advance his Knight on the Kingside and brings it back without to the center instead. Next stop: b6, where it attacks the c4-pawn."
576,69,White,b4a5,". . . . . . . .
. . . n . k p .
b . p . p . . p
. . . . P p . .
. B P P p . . .
N . . . P . P .
. . . . . . . P
. . . . . . K .",Tartakower takes b6 away from the Black Knight.
576,70,Black,g7g5,". . . . . . . .
. . . n . k p .
b . p . p . . p
B . . . P p . .
. . P P p . . .
N . . . P . P .
. . . . . . . P
. . . . . . K .","Maroczy begins a demonstration on the Kingside, advancing his pawn and without grabbing some space."
576,71,White,g1f2,". . . . . . . .
. . . n . k . .
b . p . p . . p
B . . . P p p .
. . P P p . . .
N . . . P . P .
. . . . . . . P
. . . . . . K .",Tartakower begins the centralization of his King.
576,72,Black,f7e8,". . . . . . . .
. . . n . k . .
b . p . p . . p
B . . . P p p .
. . P P p . . .
N . . . P . P .
. . . . . K . P
. . . . . . . .","Maroczy's King is shut out of the center (since White controls d8, d6, & f6). without He brings his King toward the Queenside (if the White Bishop abandons the without a5-d8 diagonal, the Black King might reach the center via the Queenside)."
576,73,White,f2e2,". . . . k . . .
. . . n . . . .
b . p . p . . p
B . . . P p p .
. . P P p . . .
N . . . P . P .
. . . . . K . P
. . . . . . . .",The White King keeps marching toward the center.
576,74,Black,c6c5,". . . . k . . .
. . . n . . . .
b . p . p . . p
B . . . P p p .
. . P P p . . .
N . . . P . P .
. . . . K . . P
. . . . . . . .","Maroczy begins a breakthrough in the center. (38.dxc5 Nxc5 and the Knight without invades via b3; if White allows 38...cxd4 39.exd4, Black has a protected  without passed pawn.)"
576,75,White,a3b5,". . . . k . . .
. . . n . . . .
b . . . p . . p
B . p . P p p .
. . P P p . . .
N . . . P . P .
. . . . K . . P
. . . . . . . .","Tartakower blocks the Bishop's attack on his c4-pawn and has two without possibilities of his own: Nc7, forking the King and Bishop, or Nd6, without protecting the c-pawn with check."
576,76,Black,e8f7,". . . . k . . .
. . . n . . . .
b . . . p . . p
B N p . P p p .
. . P P p . . .
. . . . P . P .
. . . . K . . P
. . . . . . . .","By moving the King, Maroczy eliminates the threat of a Nc7 fork by White."
576,77,White,e2d2,". . . . . . . .
. . . n . k . .
b . . . p . . p
B N p . P p p .
. . P P p . . .
. . . . P . P .
. . . . K . . P
. . . . . . . .",The White King continues its interrupted travels (getting off of the without dangerous a6-f1 diagonal in the process).
576,78,Black,c5d4,". . . . . . . .
. . . n . k . .
b . . . p . . p
B N p . P p p .
. . P P p . . .
. . . . P . P .
. . . K . . . P
. . . . . . . .",Maroczy begins his central breakthrough.
576,79,White,e3d4,". . . . . . . .
. . . n . k . .
b . . . p . . p
B N . . P p p .
. . P p p . . .
. . . . P . P .
. . . K . . . P
. . . . . . . .","If Tartakower doesn't recapture, Black gets a passed pawn anyway (40...d3). without By recapturing, he keeps the material balance even."
576,80,Black,f5f4,". . . . . . . .
. . . n . k . .
b . . . p . . p
B N . . P p p .
. . P P p . . .
. . . . . . P .
. . . K . . . P
. . . . . . . .","Maroczy begins his pawn onslaught. If 41.gxf4, the Black g- and h-pawns without (supported by the King) drive through to the eighth rank."
576,81,White,b5d6,". . . . . . . .
. . . n . k . .
b . . . p . . p
B N . . P . p .
. . P P p p . .
. . . . . . P .
. . . K . . . P
. . . . . . . .","The Knight forks the King and e4-pawn. However, if 42.Nxe4, then 42...fxg3 without 43.fxg3, and the Black King and two pawns steamroll down to the eighth without rank."
576,82,Black,f7g6,". . . . . . . .
. . . n . k . .
b . . N p . . p
B . . . P . p .
. . P P p p . .
. . . . . . P .
. . . K . . . P
. . . . . . . .","Maroczy has to move his King to get out of check, so he places it where it without supports his Kingside pawns."
576,83,White,d2c3,". . . . . . . .
. . . n . . . .
b . . N p . k p
B . . . P . p .
. . P P p p . .
. . . . . . P .
. . . K . . . P
. . . . . . . .","The White King heads for the Queenside, where it might support the advance of without the c-pawn."
576,84,Black,e4e3,". . . . . . . .
. . . n . . . .
b . . N p . k p
B . . . P . p .
. . P P p p . .
. . K . . . P .
. . . . . . . P
. . . . . . . .",Uh-oh. Maroczy advances one of his e-pawns. How will Tartakower respond?
576,85,White,c3d3,". . . . . . . .
. . . n . . . .
b . . N p . k p
B . . . P . p .
. . P P . p . .
. . K . p . P .
. . . . . . . P
. . . . . . . .","The White King scampers closer to the advancing pawn, unblocking the White without Bishop's access to the e1 promotion square at the same time. Now the c4-pawn without can't advance (it's pinned to the King!)."
576,86,Black,d7b8,". . . . . . . .
. . . n . . . .
b . . N p . k p
B . . . P . p .
. . P P . p . .
. . . K p . P .
. . . . . . . P
. . . . . . . .",The Black Knight maneuvers to better its position. Maroczy plans to have it without enter the fray via b8 and c6.
576,87,White,d3e4,". n . . . . . .
. . . . . . . .
b . . N p . k p
B . . . P . p .
. . P P . p . .
. . . K p . P .
. . . . . . . P
. . . . . . . .",The White King still watches the center (remember that the Bishop covers e1) without and unpins the c-pawn.
576,88,Black,b8c6,". n . . . . . .
. . . . . . . .
b . . N p . k p
B . . . P . p .
. . P P K p . .
. . . . p . P .
. . . . . . . P
. . . . . . . .",The Black Knight lands on c6 and threatens White's Bishop.
576,89,White,a5c3,". . . . . . . .
. . . . . . . .
b . n N p . k p
B . . . P . p .
. . P P K p . .
. . . . p . P .
. . . . . . . P
. . . . . . . .","By pulling back to c3, the Bishop will help defend the e5-pawn if Tartakower without pushes the d-pawn."
576,90,Black,e3e2,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . p .
. . P P K p . .
. . B . p . P .
. . . . . . . P
. . . . . . . .","Maroczy inches the pawn toward promotion. Now the White Bishop is stuck on without the a5-e1 diagonal (if it leaves the diagonal, the pawn promotes)."
576,91,White,g3f4,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . p .
. . P P K p . .
. . B . . . P .
. . . . p . . P
. . . . . . . .","Tartakower begins the elimination of Black's threatened Kingside pawnstorm. without By capturing the f-pawn, he separates Black's Kingside pawns."
576,92,Black,g5f4,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . p .
. . P P K P . .
. . B . . . . .
. . . . p . . P
. . . . . . . .","Maroczy recaptures, keeping the material even. He hopes to prevent the without e2-pawn from becoming isolated by maintaining a pawn on the f-file."
576,93,White,c3d2,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . . .
. . P P K p . .
. . B . . . . .
. . . . p . . P
. . . . . . . .",The Bishop hits at Black's f-pawn and discourages 47...Kg5 (because of the without pin on the Black King).
576,94,Black,f4f3,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . . .
. . P P K p . .
. . . . . . . .
. . . B p . . P
. . . . . . . .","The f-pawn is doomed, but Maroczy advances it for a reason..."
576,95,White,e4f3,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . . .
. . P P K . . .
. . . . . p . .
. . . B p . . P
. . . . . . . .",...if the White King captures it...
576,96,Black,c6d4,". . . . . . . .
. . . . . . . .
b . n N p . k p
. . . . P . . .
. . P P . . . .
. . . . . K . .
. . . B p . . P
. . . . . . . .","...the Black Knight evens up the material, defends the e2-pawn, AND gives without check!"
576,97,White,f3e3,". . . . . . . .
. . . . . . . .
b . . N p . k p
. . . . P . . .
. . P n . . . .
. . . . . K . .
. . . B p . . P
. . . . . . . .","It's not often that you get to see a King fork! Since the Knight can't be without defended, it must move away, leaving the e2-pawn at White's without mercy!"
576,98,Black,d4f5,". . . . . . . .
. . . . . . . .
b . . N p . k p
. . . . P . . .
. . P n . . . .
. . . . K . . .
. . . B p . . P
. . . . . . . .",The Knight checks...
576,99,White,e3e2,". . . . . . . .
. . . . . . . .
b . . N p . k p
. . . . P n . .
. . P . . . . .
. . . . K . . .
. . . B p . . P
. . . . . . . .","...and the King escapes, killing the dangerous Black pawn at the same time."
576,100,Black,f5d6,". . . . . . . .
. . . . . . . .
b . . N p . k p
. . . . P n . .
. . P . . . . .
. . . . . . . .
. . . B K . . P
. . . . . . . .","Maroczy sees no way to promote one of his pawns (they're both blocked by without White pawns), so he decides to trade Knights to reduce White's offensive without chances."
576,101,White,e5d6,". . . . . . . .
. . . . . . . .
b . . n p . k p
. . . . P . . .
. . P . . . . .
. . . . . . . .
. . . B K . . P
. . . . . . . .","After the recapture, Tartakower has connected passed pawns! Will he be able without to promote one?"
576,102,Black,a6c4,". . . . . . . .
. . . . . . . .
b . . P p . k p
. . . . . . . .
. . P . . . . .
. . . . . . . .
. . . B K . . P
. . . . . . . .",Nope! The Bishop evens the material and gives check.
576,103,White,e2e3,". . . . . . . .
. . . . . . . .
. . . P p . k p
. . . . . . . .
. . b . . . . .
. . . . . . . .
. . . B K . . P
. . . . . . . .",The King escapes check and heads for the center.
576,104,Black,c4b5,". . . . . . . .
. . . . . . . .
. . . P p . k p
. . . . . . . .
. . b . . . . .
. . . . K . . .
. . . B . . . P
. . . . . . . .",The Black Bishop heads the d6-pawn off at the pass. Now the pawn can't safely without advance.
576,105,White,e3d4,". . . . . . . .
. . . . . . . .
. . . P p . k p
. b . . . . . .
. . . . . . . .
. . . . K . . .
. . . B . . . P
. . . . . . . .",The White King runs to the aid of the d-pawn.
576,106,Black,h6h5,". . . . . . . .
. . . . . . . .
. . . P p . k p
. b . . . . . .
. . . K . . . .
. . . . . . . .
. . . B . . . P
. . . . . . . .","Maroczy advances one of his pawns, hoping that his King and h-pawn duo can without break through to promote."
576,107,White,d4c5,". . . . . . . .
. . . . . . . .
. . . P p . k .
. b . . . . . p
. . . K . . . .
. . . . . . . .
. . . B . . . P
. . . . . . . .",The King valiantly attacks the Black Bishop...
576,108,Black,b5a4,". . . . . . . .
. . . . . . . .
. . . P p . k .
. b K . . . . p
. . . . . . . .
. . . . . . . .
. . . B . . . P
. . . . . . . .","...which simply sidesteps, being careful to stay on the a4-e8 diagonal, where without it impedes the d-pawn's progress."
576,109,White,c5b6,". . . . . . . .
. . . . . . . .
. . . P p . k .
. . K . . . . p
b . . . . . . .
. . . . . . . .
. . . B . . . P
. . . . . . . .","The White King makes its way toward c7, where it will cover d7. Tartakower without wants to play d6-d7, and after ...Bxd7, Kxd7 he'll be ahead a Bishop for a without pawn."
